class	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
c_Fermentibacteria	1	0	3	9	1	23	2	0	12	0	0	0	0	14	0	d_Bacteria;p_Fermentibacterota;c_Fermentibacteria
c_Unclassified_p_Nitrospinota	0	0	14	10	1	18	6	0	6	0	0	0	0	9	0	d_Bacteria;p_Nitrospinota;c_Unclassified_p_Nitrospinota
c_UBA2968	1	0	13	3	4	10	16	0	2	0	0	0	0	11	0	d_Bacteria;p_Latescibacterota;c_UBA2968
c_Koll11	1	6	13	4	5	1	10	0	0	2	0	0	0	15	0	d_Bacteria;p_Omnitrophota;c_Koll11
c_CAIYQO01	3	10	0	0	3	1	3	0	3	34	0	0	0	0	0	d_Bacteria;p_Armatimonadota;c_CAIYQO01
c_Eremiobacteria	0	0	0	5	0	0	0	0	0	0	0	4	0	0	47	d_Bacteria;p_Eremiobacterota;c_Eremiobacteria
c_Gracilibacteria	0	0	23	0	0	5	7	0	0	0	0	1	3	9	8	d_Bacteria;p_Patescibacteria;c_Gracilibacteria
c_Thermoanaerobacteria	0	0	0	0	0	0	0	0	0	0	44	7	0	0	4	d_Bacteria;p_Firmicutes A;c_Thermoanaerobacteria
c_Unclassified_p_Verrucomicrobiota	15	3	16	7	0	0	0	0	2	2	0	0	0	9	0	d_Bacteria;p_Verrucomicrobiota;c_Unclassified_p_Verrucomicrobiota
c_Xenobia	0	0	1	15	0	3	3	0	6	0	0	0	0	25	0	d_Bacteria;p_Eremiobacterota;c_Xenobia
c_CSP1-3	0	0	0	0	0	0	0	0	0	0	0	2	0	7	43	d_Bacteria;p_CSP1-3;c_CSP1-3
c_MSB-5A5	2	0	9	0	9	6	1	0	9	7	0	0	0	9	0	d_Bacteria;p_Zixibacteria;c_MSB-5A5
c_Leptospirillia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	d_Bacteria;p_Nitrospirota A;c_Leptospirillia
c_Syntrophomonadia	1	0	2	0	4	0	2	1	0	0	0	7	3	1	30	d_Bacteria;p_Firmicutes B;c_Syntrophomonadia
c_UBA8477	0	0	2	11	3	8	0	0	19	0	1	0	0	7	0	d_Bacteria;p_Marinisomatota;c_UBA8477
c_UBA6077	0	0	0	0	0	0	0	0	0	0	0	0	1	0	49	d_Bacteria;p_Chloroflexota;c_UBA6077
c_Moorellia	0	0	11	11	0	11	4	0	1	0	0	0	0	12	0	d_Bacteria;p_Firmicutes B;c_Moorellia
c_Endomicrobia	0	0	0	0	0	0	0	3	0	0	47	0	0	0	0	d_Bacteria;p_Elusimicrobiota;c_Endomicrobia
c_UBA6777	0	0	15	0	0	11	11	0	6	0	0	0	0	7	0	d_Bacteria;p_Myxococcota;c_UBA6777
c_Ozemobacteria	9	4	4	7	3	5	2	0	5	0	0	0	1	0	5	d_Bacteria;p_Riflebacteria;c_Ozemobacteria
c_UBA6098	0	0	8	14	0	12	3	0	3	0	0	0	0	3	0	d_Bacteria;p_UBP14;c_UBA6098
c_Hydrogenedentia	1	1	15	0	1	4	2	0	13	1	0	0	0	2	0	d_Bacteria;p_Hydrogenedentota;c_Hydrogenedentia
c_JAEDAM01	0	0	5	0	4	9	3	0	2	0	0	0	0	16	0	d_Bacteria;p_Patescibacteria;c_JAEDAM01
c_WWE3	5	0	0	0	0	0	0	0	3	5	0	0	0	0	25	d_Bacteria;p_Patescibacteria;c_WWE3
c_Dojkabacteria	0	0	0	0	0	0	0	0	0	0	0	33	0	0	3	d_Bacteria;p_Patescibacteria;c_Dojkabacteria
