genus	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
g_Unclassified_c_Bacteroidia	227.6729	1917.8169	5127.9022	5864.3109	1149.5774	5590.0431	4034.2713	254.2303	1912.3105	160.5731	45.3091	2716.8837	149.7007	3014.0604	156.2225	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Unclassified_c_Bacteroidia;f_Unclassified_c_Bacteroidia;g_Unclassified_c_Bacteroidia
g_QGON01	184.7649	331.0188	5404.0447	6301.0129	912.9875	7077.1629	3836.0737	0	1622.0664	43.2743	1.963	1.7559	27.8232	3965.976	0.8644	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Chromatiales;f_Sedimenticolaceae;g_QGON01
g_DB6-IX	72.5089	1512.7496	5988.7132	6298.5792	1196.4523	5371.0786	3616.9222	6.8005	998.2152	127.1315	0	0	40.4516	4173.0029	0	d_Bacteria;p_Bdellovibrionota;c_Bacteriovoracia;o_Bacteriovoracales;f_Bacteriovoracaceae;g_DB6-IX
g_UBA1096	182.8216	431.1568	5561.5675	4563.434	1228.9495	6787.79	3793.3337	0	2461.9113	103.0118	6.9231	18.0231	72.8909	3730.6462	1.4217	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Pedosphaerales;f_UBA1096;g_UBA1096
g_CCUG-7971	12575.91	19.6908	63.3673	0	68.4622	7.618	132.8204	6313.1209	19.2038	303.3867	509.1848	0.7674	1228.9491	13.1163	6871.8588	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_CCUG-7971
g_Helicobacter H	410.3494	35.8847	331.4803	174.3996	19183.3199	44.8334	926.7472	131.7548	14.9924	0	12.7967	495.7121	26.116	5983.2248	67.0133	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter H
g_Gallilactobacillus	0	0	0	0	27.0026	4.3082	2053.4675	5210.4211	250.128	12169.696	572.0424	4655.1022	2484.6133	63.0887	0.9522	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Gallilactobacillus
g_Unclassified_f_Actinomycetaceae	3170.2887	7051.7606	20.4946	0	365.4095	107.3685	421.5303	57.456	1862.6637	2678.999	55.2818	518.6308	6587.9661	170.157	3788.9614	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Unclassified_f_Actinomycetaceae
g_Plesiomonas	25.8075	55.6714	287.1431	0	125.9612	0	20864.5199	993.7444	21.6261	157.9095	883.9452	58.422	1768.394	1560.3741	14.6897	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Plesiomonas
g_Shinella	2067.6703	278.9395	8.4578	0	368.3486	10.2847	133.6393	66.6156	188.5319	369.1476	10.7501	12271.5476	989.1592	6.467	9698.153	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Shinella
g_Lysobacter	921.9976	28.9202	6.3723	0	34.1878	8.2865	0	375.4246	9.6463	78.612	13.7029	4025.5097	287.2935	0	20420.9282	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Lysobacter
g_Unclassified_f_Micrococcaceae	8122.3585	3232.5965	41.4636	0	241.5964	22.9103	305.1261	315.2192	2945.4793	7789.0079	59.5283	579.1556	900.4563	128.0376	1212.8666	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Unclassified_f_Micrococcaceae
g_Flavobacterium	39.9547	52.4527	6580.9224	6477.0543	1021.7359	5179.9622	2940.7443	16.7302	425.864	9.1429	129.2835	200.9536	69.8861	2575.5796	33.8839	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium
g_Romboutsia	3107.2095	199.8952	1064.9119	0	107.8497	29.8979	1410.4507	1867.041	28.4969	622.2387	1087.8644	15.2396	4387.0635	289.2462	11436.1173	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Romboutsia
g_Cutibacterium	5392.5487	1740.44	13.0612	0	834.8674	0	54.2791	773.6224	11067.8131	4170.1684	81.7685	161.7251	1087.383	90.0814	55.9803	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae;g_Cutibacterium
g_Ochrobactrum A	255.2424	331.0188	0	0	27.476	9.474	25.5201	2.7046	88.3962	74.6325	5.4879	586.9533	500.5319	0	23036.5326	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Ochrobactrum A
g_Sphingomonas	2080.0943	11646.9033	628.917	226.9444	1816.1826	482.9479	2657.9353	57.9945	1000.6303	1610.7835	6.893	1979.6017	94.569	288.9236	167.5959	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingomonas
g_Campylobacter D	123.7187	25.227	377.8432	107.7622	12974.3628	67.1927	550.544	83.1542	4.4064	0	29.9485	174.6432	3.371	9979.6519	32.1992	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Campylobacteraceae;g_Campylobacter D
g_Flaviflexus	1551.5512	1215.1941	7.04	0	106.1197	68.5843	115.095	139.9252	817.459	2743.8978	39.0358	244.4563	1323.1521	167.5293	15739.3994	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Flaviflexus
g_Kaistella	613.3275	30.9676	291.9405	284.3274	9.818	164.1294	54.1613	582.8562	0	0	28.0159	21715.9713	162.1553	17.5433	28.4312	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae;g_Kaistella
g_Pseudidiomarina	135.5601	68.8073	4396.8791	4505.2156	425.4454	3685.2859	3143.0545	11.8819	3817.8624	11.9936	7.1132	1.4206	23.5394	3268.9739	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Alteromonadaceae;g_Pseudidiomarina
g_Arctic96AD-7	4234.5838	234.0324	776.4028	697.1919	579.6234	1241.9213	652.7547	0	8676.5926	0	1.9613	28.595	5.9796	5941.8315	2.0996	d_Bacteria;p_SAR324;c_SAR324;o_SAR324;f_NAC60-12;g_Arctic96AD-7
g_Epulopiscium C	7.4579	0	3806.1958	4264.4207	903.9099	7090.9035	2443.0718	44.7627	301.7684	46.1592	4.5667	0	38.8685	4012.9912	1.7032	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Cellulosilyticaceae;g_Epulopiscium C
g_Unclassified_p_Myxococcota	163.8502	946.7377	3916.3695	4672.017	644.4824	4835.3673	2766.4022	11.7826	1068.3255	278.1648	1.0036	0.8157	20.5874	3534.6243	0.5176	d_Bacteria;p_Myxococcota;c_Unclassified_p_Myxococcota;o_Unclassified_p_Myxococcota;f_Unclassified_p_Myxococcota;g_Unclassified_p_Myxococcota
g_Tissierella B	276.5468	659.7456	4064.8995	2688.918	2248.3711	4619.7465	4076.8382	66.936	1804.5031	23.8532	2.9713	3.9305	83.6263	2053.1281	1.6522	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales;f_Tissierellaceae;g_Tissierella B
