class	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
c_Hydrogenedentia	34.2724	56.0535	220.1701	0	56.1351	57.764	36.5457	0	171.5387	9.7705	0	0	0	23.7176	0	d_Bacteria;p_Hydrogenedentota;c_Hydrogenedentia
c_UBA6624	0	0	0	452.0557	48.3796	0	99.0582	0	0	0	0	0	0	64.2871	0	d_Bacteria;p_UBP7;c_UBA6624
c_Aminicenantia	0	0	0	525.407	0	0	90.1607	0	37.2566	0	7.104	0	0	0	0.3053	d_Bacteria;p_Acidobacteriota;c_Aminicenantia
c_UBA6099	0	0	47.805	217.2726	0	305.7153	59.5132	0	24.5923	0	0	0	0	0	0	d_Bacteria;p_UBP15;c_UBA6099
c_Unclassified_p_Firmicutes A	36.3216	0	0	0	0	0	30.2974	247.6694	0	49.3044	114.4954	3.1598	85.0745	0	78.5377	d_Bacteria;p_Firmicutes A;c_Unclassified_p_Firmicutes A
c_Krumholzibacteria	0	0	159.1405	0	0	0	0	0	0	0	0	0	0	450.0096	0	d_Bacteria;p_Krumholzibacteriota;c_Krumholzibacteria
c_Abditibacteria	0	0	0	60.5396	0	542.2603	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Armatimonadota;c_Abditibacteria
c_UBA6911	0	0	36.4298	124.1792	22.1497	265.4701	45.3519	0	18.7405	0	0	0	0	82.8105	0	d_Bacteria;p_Acidobacteriota;c_UBA6911
c_Syntrophomonadia	23.8813	0	128.6668	0	156.4617	0	160.1791	11.2498	0	0	0	11.9601	34.3019	51.9768	14.8184	d_Bacteria;p_Firmicutes B;c_Syntrophomonadia
c_B64-G9	0	0	0	0	0	275.8134	199.4283	0	20.6021	0	0	0	0	97.0692	0	d_Bacteria;p_Myxococcota;c_B64-G9
c_Eremiobacteria	0	0	0	512.7796	0	0	0	0	0	0	0	9.7561	0	0	40.9718	d_Bacteria;p_Eremiobacterota;c_Eremiobacteria
c_DTU015	17.071	279.4152	0	0	27.9608	0	114.5007	2.1256	23.6572	0	0	0	9.8326	0	84.2726	d_Bacteria;p_Firmicutes E;c_DTU015
