KEGG_L3	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
ko04014	2.7975	15.1579	13.6792	10.7256	3.5543	11.0908	14.7951	0.1991	3.6978	0.7756	0.0113	0.0239	0	7.7493	0.0472	Environmental Information Processing; Signal transduction; Ras signaling pathway
ko04015	0.5614	4.3549	13.0983	14.4637	5.9996	15.092	11.3991	0.0902	5.9542	1.8949	0.0254	0.0268	0	12.8792	0.0467	Environmental Information Processing; Signal transduction; Rap1 signaling pathway
ko04020	4.1984	14.1724	27.8799	28.9264	7.8404	33.6744	27.3155	0	17.7582	2.3948	0.0707	0.1136	0	17.5174	0.0166	Environmental Information Processing; Signal transduction; Calcium signaling pathway
ko04022	12.8611	44.6855	166.6177	167.6499	53.1991	160.7945	119.4356	0.5052	63.5106	11.2305	0.3014	0.3264	0	129.3844	0.0692	Environmental Information Processing; Signal transduction; cGMP-PKG signaling pathway
ko04024	6.5897	19.9975	33.4075	42.9499	13.5713	39.3846	33.8781	0.3559	21.5462	5.2438	0.0932	0	0	24.7912	2.1038	Environmental Information Processing; Signal transduction; cAMP signaling pathway
ko04060	0	0	8.3199	0	3.4135	8.2278	6.1757	0	6.4921	0	0	0	0	6.654	0	Environmental Information Processing; Signaling molecules and interaction; Cytokine-cytokine receptor interaction
ko04062	0.7029	4.7497	11.1649	13.4707	2.126	9.5252	19.4853	0	4.5394	0.3618	0	0.0616	0	9.9735	0.0084	Organismal Systems; Immune system; Chemokine signaling pathway
ko04064	1.6947	4.4731	21.5962	18.1675	6.4342	11.7632	27.071	0	2.6225	1.3989	0	0	0	10.7361	0	Environmental Information Processing; Signal transduction; NF-kappa B signaling pathway
ko04066	68.1314	44.0338	49.0757	47.555	64.7748	36.0504	44.497	109.6175	43.2729	212.8432	67.3006	91.9455	0	56.7245	89.2729	Environmental Information Processing; Signal transduction; HIF-1 signaling pathway
ko04068	30.3444	12.9108	13.4039	11.2354	32.6829	12.616	16.8941	8.154	12.5555	26.8702	16.2924	18.6491	0	16.6176	0	Environmental Information Processing; Signal transduction; FoxO signaling pathway
ko04070	34.1	6.3553	3.913	4.1418	18.4647	2.0588	21.2789	40.4246	12.6751	38.0707	29.6763	46.2587	24.1835	8.9801	43.6822	Environmental Information Processing; Signal transduction; Phosphatidylinositol signaling system
ko04071	3.0881	4.1845	29.2735	19.157	2.6579	20.0151	12.2299	0.372	11.8507	5.1886	0	0.1171	0.5102	17.4454	0.338	Environmental Information Processing; Signal transduction; Sphingolipid signaling pathway
ko04072	9.2098	51.1136	24.3279	28.8152	16.0925	22.3784	16.6424	0	11.2031	7.9957	8.3554	5.0148	0	31.9083	0	Environmental Information Processing; Signal transduction; Phospholipase D signaling pathway
ko04080	3.7314	14.8112	9.4851	9.4119	6.2621	7.5095	6.4282	3.0697	3.4623	2.3639	1.5173	0.578	1.6021	9.2834	0.7879	Environmental Information Processing; Signaling molecules and interaction; Neuroactive ligand-receptor interaction
ko04110	0.7083	0.3338	6.2576	9.7801	0.4683	9.3257	3.4052	0	4.6558	0.6718	0	0	0	4.977	0.0134	Cellular Processes; Cell growth and death; Cell cycle
ko04111	0.4674	0.2967	0	0	0.1314	0	0	0	0	0	0	0	0	0.6293	0.0119	Cellular Processes; Cell growth and death; Cell cycle - yeast
ko04112	225.2799	0	0	0	256.9173	0	0	0	0	329.1494	265.1297	341.0872	359.8661	0	318.6342	Cellular Processes; Cell growth and death; Cell cycle - Caulobacter
ko04113	0	0	0	0	0.732	0	0	0	8.5154	0	0	0	0	0	0	Cellular Processes; Cell growth and death; Meiosis - yeast
ko04114	0	0	3.7528	5.6403	0.4194	7.9839	0.5669	0	6.5522	0	0	0	0	5.5116	0	Cellular Processes; Cell growth and death; Oocyte meiosis
ko04115	2.6019	12.8924	23.9928	21.1937	28.5428	24.5989	26.0031	1.3708	10.4207	3.7857	0.2593	16.6466	2.647	23.58	9.5732	Cellular Processes; Cell growth and death; p53 signaling pathway
ko04120	5.8418	0.5421	144.7046	204.8816	57.3202	186.2334	103.1177	0.2125	79.8733	0.2995	0	0	0	147.5257	0.1261	Genetic Information Processing; Folding, sorting and degradation; Ubiquitin mediated proteolysis
ko04122	193.9572	35.1076	29.1186	0	275.6497	0	56.8377	247.4077	65.3675	171.8351	371.4943	233.8999	293.8619	97.868	190.3348	Genetic Information Processing; Folding, sorting and degradation; Sulfur relay system
ko04136	0	0	0	0	0	0.8171	26.2005	0	2.0286	0	0	0	0	0	0	Cellular Processes; Transport and catabolism; Autophagy - other
ko04137	5.9453	36.6542	1.0115	0	1.4147	2.1442	5.1467	0	1.7848	1.5353	0	0	0	2.277	0	Cellular Processes; Transport and catabolism; Mitophagy - animal
ko04138	8.8677	1.6307	1.6649	2.8285	0.0793	1.406	8.787	0	4.0994	0	0	0	0	1.4416	0	Cellular Processes; Transport and catabolism; Autophagy - yeast
ko04139	0	0	0	0	0	0	1.5203	0	0.9865	0	0	0	0	3.6611	0	Cellular Processes; Transport and catabolism; Mitophagy - yeast
ko04140	3.351	20.9977	2.6282	0	1.2466	1.4513	8.2573	0	2.237	1.6856	0	0	0	1.3192	0.0445	Cellular Processes; Transport and catabolism; Autophagy - animal
ko04141	2.0404	5.0191	28.6795	31.9559	16.163	22.8419	21.2746	13.1149	11.5505	18.7452	9.9705	12.1662	6.1005	21.4566	3.8073	Genetic Information Processing; Folding, sorting and degradation; Protein processing in endoplasmic reticulum
ko04142	9.0931	11.8445	11.5599	12.1006	13.9427	15.8151	13.0573	48.1037	10.8914	2.692	17.2359	1.943	34.4492	16.9013	12.1977	Cellular Processes; Transport and catabolism; Lysosome
ko04144	2.3639	1.5444	15.8063	15.1388	6.5391	9.8989	13.2197	0.2733	9.0167	1.1419	0.113	0.138	0	13.4511	0.0167	Cellular Processes; Transport and catabolism; Endocytosis
ko04145	2.3641	20.4873	46.5446	52.3351	22.4576	42.3395	40.8974	0	16.8447	4.5949	0	0	0	44.4248	0	Cellular Processes; Transport and catabolism; Phagosome
ko04146	79.9003	45.4965	23.3949	56.7227	65.7582	39.5826	47.4537	22.4035	29.4895	83.0582	48.6507	94.9353	51.5343	48.8381	96.3431	Cellular Processes; Transport and catabolism; Peroxisome
ko04150	2.6093	11.2953	18.9682	14.1308	8.3517	6.9942	21.9652	0.1453	9.7131	0.4543	0.0612	0.1753	0	11.2557	0.0247	Environmental Information Processing; Signal transduction; mTOR signaling pathway
ko04151	23.6421	85.2123	25.658	21.5341	33.7121	15.401	48.4381	6.3842	14.3096	16.5572	0	0	0	26.679	0	Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway
ko04152	25.2354	29.3367	7.6658	4.1529	21.6981	5.2241	9.3668	0	8.1888	68.1371	25.7267	28.7843	35.3368	14.6732	18.9285	Environmental Information Processing; Signal transduction; AMPK signaling pathway
ko04210	1.496	3.8489	27.4222	23.6846	18.5391	27.2773	29.7222	0.8153	5.6136	1.8446	0.0784	15.1909	0	19.3186	6.0074	Cellular Processes; Cell growth and death; Apoptosis
ko04211	29.3556	8.4054	8.7658	10.142	46.9069	0.4579	3.3127	0	13.751	25.6598	23.9685	0	0	25.267	30.5624	Organismal Systems; Aging; Longevity regulating pathway
ko04212	125.4599	48.4554	41.2518	17.404	127.3001	30.2143	36.8316	0	41.9742	147.1924	77.2099	140.6672	103.1506	53.5131	117.7736	Organismal Systems; Aging; Longevity regulating pathway - worm
ko04213	50.9088	15.2314	15.1592	12.6813	72.5304	5.3835	9.9538	0	23.7014	42.5254	42.8529	0	0	33.3012	48.8302	Organismal Systems; Aging; Longevity regulating pathway - multiple species
ko04214	8.903	4.1253	6.5438	11.8524	47.3038	8.5252	11.8587	27.2819	4.9087	10.6967	17.0565	0	35.4032	17.4605	26.7152	Cellular Processes; Cell growth and death; Apoptosis - fly
