order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_Magnetococcales	77.4052	193.6774	311.7709	552.7566	459.6374	406.2947	557.5838	7.1402	203.1067	0	0	16.0543	22.6814	466.4821	0	d_Bacteria;p_Proteobacteria;c_Magnetococcia;o_Magnetococcales
o_Bacillales G	39.4559	179.2479	331.1128	719.7036	134.5985	734.8196	249.2976	0	433.8496	67.5545	0	0	0	347.8312	12.5951	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales G
o_Rhodospirillales	18.0187	0	463.6856	453.4825	181.586	770.986	403.3547	0	351.2838	23.4234	8.3122	45.3506	5.6362	270.9118	240.7034	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales
o_Aggregatilineales	24.2111	0	615.7261	296.1341	319.3245	530.184	443.2651	0	221.0637	41.5482	0	5.175	15.0455	402.8359	12.293	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Aggregatilineales
o_Christensenellales	27.7913	140.5141	308.5863	205.6027	12.9795	329.9108	119.426	34.6699	19.0427	99.7715	631.3915	180.7529	677.3324	27.7944	32.9872	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales
o_Acidobacteriales	252.2051	394.6926	73.3243	363.3918	344.2981	328.659	310.2215	43.6939	66.1928	166.65	1.7934	0.8642	17.3073	425.6231	6.2076	d_Bacteria;p_Acidobacteriota;c_Acidobacteriae;o_Acidobacteriales
o_Treponematales	31.4901	20.1134	147.2676	474.3837	164.6242	537.5074	272.9918	92.5857	241.9325	10.4588	0.4509	4.09	25.5783	713.6399	21.7384	d_Bacteria;p_Spirochaetota;c_Spirochaetia;o_Treponematales
o_Haloplasmatales A	38.2902	312.5549	259.2551	556.8614	25.8017	566.3588	246.6975	17.5528	161.8875	85.7659	59.6308	0	14.8725	381.5795	11.0039	d_Bacteria;p_Firmicutes;c_Bacilli;o_Haloplasmatales A
o_Holophagales	124.8124	569.5612	189.4931	191.5003	224.6144	317.9795	197.7445	58.3793	142.1106	243.5587	1.6311	11.9679	13.3001	300.1949	1.0036	d_Bacteria;p_Acidobacteriota;c_Holophagae;o_Holophagales
o_Nannocystales	21.4445	168.3873	640.5961	219.5978	101.996	622.2044	253.774	0	100.2311	145.5692	1.33	0	0	287.5247	0.2747	d_Bacteria;p_Myxococcota;c_Polyangia;o_Nannocystales
o_Unclassified_p_Bacteroidota	22.9449	17.5192	450.3416	313.8288	101.8403	335.5048	293.5639	5.8601	102.8065	0	0	176.3048	0	629.7073	20.2198	d_Bacteria;p_Bacteroidota;c_Unclassified_p_Bacteroidota;o_Unclassified_p_Bacteroidota
o_Desulfobacterales	100.0652	395.6863	417.8861	81.4788	326.2251	350.8452	208.2337	58.046	68.7211	30.0756	1.1209	41.3291	34.7335	284.3774	21.8334	d_Bacteria;p_Desulfobacterota;c_Desulfobacteria;o_Desulfobacterales
o_UBA1407	12.9417	60.2806	362.4669	593.3026	53.4104	296.7737	611.2602	51.4995	25.0138	0	0	0	12.7929	340.0849	0	d_Bacteria;p_Verrucomicrobiota;c_Lentisphaeria;o_UBA1407
o_Desulfovibrionales	18.236	115.7662	255.2305	169.5748	179.5013	484.0483	380.9911	110.2373	291.6601	29.7607	5.7334	42.4571	21.7255	298.1502	5.9642	d_Bacteria;p_Desulfobacterota I;c_Desulfovibrionia;o_Desulfovibrionales
