family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_Fibrobacteraceae	16.8672	0	2809.6396	2624.0878	348.854	2236.6401	1378.4762	0	822.9809	0	2.3717	0	0	1501.6144	0.2588	d_Bacteria;p_Fibrobacterota;c_Fibrobacteria;o_Fibrobacterales;f_Fibrobacteraceae
f_Bryobacteraceae	282.3847	4200.4085	1596.2469	655.7239	465.7945	427.9491	2487.7767	45.9337	383.1094	224.9307	2.2587	10.5126	0	657.1674	22.7316	d_Bacteria;p_Acidobacteriota;c_Acidobacteriae;o_Bryobacterales;f_Bryobacteraceae
f_Melioribacteraceae	0	0	2540.8893	1757.3664	495.0993	3196.0546	941.7922	0	623.8738	66.0267	0	0	0	1770.5503	0	d_Bacteria;p_Bacteroidota;c_Ignavibacteria;o_Ignavibacteriales;f_Melioribacteraceae
f_Sphingobacteriaceae	176.3201	356.8194	1940.3587	1942.0724	667.4526	1792.7027	1448.364	5.655	869.0645	11.4164	6.7094	180.016	0	1937.4707	10.4501	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Sphingobacteriales;f_Sphingobacteriaceae
f_Unclassified_c_Cyanobacteriia	145.5673	841.8844	1281.8968	2554.6665	372.213	1930.8615	1684.7544	0	1454.3134	110.7027	1.3009	1.923	32.606	677.5882	0	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Unclassified_c_Cyanobacteriia;f_Unclassified_c_Cyanobacteriia
f_Saprospiraceae	107.4545	306.1924	2043.6073	2770.1321	320.9191	2060.8831	1502.2425	27.4018	244.7475	13.3429	26.4849	20.85	149.314	1469.7681	23.378	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Saprospiraceae
f_Unclassified_o_Lactobacillales	74.493	0	541.037	0	242.8278	69.4393	402.6249	1370.436	518.3557	2945.6203	140.1501	841.6528	1703.7216	468.3696	1701.8288	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Unclassified_o_Lactobacillales
f_Streptosporangiaceae	834.8532	2914.4318	613.6365	688.9878	766.5318	1005.1297	1605.8909	43.6977	848.614	331.9895	2.7034	30.4651	121.9257	638.2903	131.1485	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptosporangiales;f_Streptosporangiaceae
f_Microcoleaceae	26.4617	211.7757	1821.6624	2075.1705	277.7227	1346.8027	2038.5344	12.4654	876.9679	12.3047	0	0	0	1521.4236	2.3084	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Cyanobacteriales;f_Microcoleaceae
f_Unclassified_o_Bacteroidales	236.1635	1172.8715	1139.3257	1679.7011	332.292	2212.8995	1320.6709	0	470.2597	271.1413	8.759	35.5451	36.1611	1092.6958	10.0223	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Unclassified_o_Bacteroidales
f_Planococcaceae	31.6017	0	1265.6849	2043.9807	302.259	2209.9126	964.1292	27.6762	350.3892	13.0973	322.1108	3.2336	125.1403	1407.9313	204.2454	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae
f_Anaerovoracaceae	357.3088	2312.3	950.6717	787.0455	388.47	1228.5577	1136.5823	380.2542	255.8847	260.9065	10.5518	8.3603	133.8309	806.028	35.8681	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Anaerovoracaceae
f_NBRC-103111	68.8593	421.7401	1351.4928	1708.3877	726.2343	1256.5627	1519.6965	0	214.9707	8.696	1.9999	0	0	1483.1915	6.2128	d_Bacteria;p_Firmicutes;c_Bacilli;o_Paenibacillales;f_NBRC-103111
f_Unclassified_o_Enterobacterales	12.9633	22.8183	593.7194	817.2863	134.9307	842.2145	2018.5291	102.4162	220.4504	13.4984	2041.4468	130.8803	702.6988	877.0139	54.5622	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Unclassified_o_Enterobacterales
f_Acetobacteraceae	99.3945	384.2258	311.7865	1804.4019	705.6319	1590.5827	1587.5071	5.8425	290.5341	222.5107	2.2637	405.7095	13.1691	904.5885	253.17	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Acetobacterales;f_Acetobacteraceae
f_Opitutaceae	80.7237	3100.7398	644.0652	976.5059	345.5063	887.7015	1002.5482	0	611.6388	151.916	7.0679	66.4299	33.2274	651.4933	0	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales;f_Opitutaceae
f_Caldilineaceae	120.0497	887.4399	542.4308	1678.069	238.9011	2580.7755	729.1135	0	396.4799	150.2543	0	0	0	1197.0858	0	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Caldilineales;f_Caldilineaceae
f_Polyangiaceae	165.9067	226.1212	1485.0032	1139.776	292.0233	1557.3102	1840.3337	0	581.6257	97.9937	0	0	24.5743	937.5188	7.7711	d_Bacteria;p_Myxococcota;c_Polyangia;o_Polyangiales;f_Polyangiaceae
f_Peptoniphilaceae	541.249	821.4703	83.8109	355.4093	89.7935	102.5809	650.041	971.6991	42.0028	258.4941	1076.4998	321.3425	2412.8766	60.5177	456.0269	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales;f_Peptoniphilaceae
