order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_Streptomycetales	1408	1754	793	469	1723	513	1305	169	927	1125	115	294	94	550	3343	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptomycetales
o_Bacteroidales	199	95	1413	1510	449	1574	764	260	744	126	880	588	142	1374	1434	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales
o_Tissierellales	71	22	100	67	84	107	89	369	85	43	943	492	429	70	6520	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales
o_UBA1444	67	1	1072	1378	457	1457	625	2	978	0	22	17	17	1123	54	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_UBA1444
o_Unclassified_c_Bacteroidia	26	30	140	153	48	170	89	201	108	14	131	5344	46	121	577	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Unclassified_c_Bacteroidia
o_Babeliales	0	0	17	14	10	42	9	0	0	0	5	11	1	14	6088	d_Bacteria;p_Dependentiae;c_Babeliae;o_Babeliales
o_Paenibacillales	511	762	233	103	731	101	560	73	250	398	558	629	72	196	591	d_Bacteria;p_Firmicutes;c_Bacilli;o_Paenibacillales
o_Chromatiales	42	5	742	675	210	927	404	1	436	24	13	7	8	707	428	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Chromatiales
o_Oscillospirales	101	62	96	106	91	111	73	205	78	77	1576	259	171	91	1221	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales
o_Aquificales	30	4	590	738	171	771	469	126	299	1	7	3	1	741	12	d_Bacteria;p_Aquificota;c_Aquificae;o_Aquificales
o_PS1	54	74	493	475	160	461	260	6	330	31	8	6	0	363	191	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_PS1
o_Erysipelotrichales	5	0	4	5	1	10	3	60	0	2	221	12	24	1	2192	d_Bacteria;p_Firmicutes;c_Bacilli;o_Erysipelotrichales
o_RFN20	0	0	4	6	3	6	8	970	0	0	898	22	378	1	212	d_Bacteria;p_Firmicutes;c_Bacilli;o_RFN20
o_Cyanobacteriales	76	25	325	414	83	391	216	10	208	16	3	189	7	323	113	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Cyanobacteriales
o_Acetobacterales	8	6	8	33	25	47	28	1	14	21	1	484	1	63	1208	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Acetobacterales
o_Unclassified_c_Campylobacteria	53	0	17	1	971	4	29	45	5	1	17	255	0	312	226	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Unclassified_c_Campylobacteria
o_Unclassified_p_Firmicutes A	16	0	0	0	0	0	6	279	0	3	617	3	59	0	928	d_Bacteria;p_Firmicutes A;c_Unclassified_p_Firmicutes A;o_Unclassified_p_Firmicutes A
o_Bacillales A	4	0	36	42	12	59	19	8	18	4	538	6	24	46	1065	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A
o_Rhodospirillales	5	0	25	21	12	36	18	0	29	6	5	41	3	13	1567	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales
o_SAR324	526	3	34	22	40	31	18	0	724	0	2	32	1	323	9	d_Bacteria;p_SAR324;c_SAR324;o_SAR324
o_Christensenellales	3	6	15	9	2	13	4	12	1	8	1143	130	163	3	192	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales
o_Nanopelagicales	141	6	24	17	4	15	8	7	57	2	1	4	8	41	1347	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Nanopelagicales
o_Pedosphaerales	28	21	244	213	74	266	147	0	211	18	4	151	5	245	12	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Pedosphaerales
o_Coriobacteriales	14	3	2	2	3	0	2	18	2	2	524	31	3	0	986	d_Bacteria;p_Actinobacteriota;c_Coriobacteriia;o_Coriobacteriales
o_Bacillales B	12	11	102	191	33	46	278	136	17	1	113	23	35	58	386	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales B
o_Cytophagales	46	25	159	177	69	167	78	20	157	28	2	94	11	123	273	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Cytophagales
o_Tistrellales	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1373	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Tistrellales
