#ID	ADU	JUN
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Cetobacterium_A.Cetobacterium_A_sp014250675	1138.32418	13.341379999999997
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.Acinetobacter_idrijaensis	651.29956	743.1090200000001
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.Helicobacter_G_avistercoris	32.32403999999999	1085.57928
Bacteria.Firmicutes_A.Clostridia.Lachnospirales.Lachnospiraceae.Schaedlerella.Schaedlerella_sp004556565	368.685	913.0676799999999
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Rothia.Rothia_amarae	357.55663999999996	966.7528199999999
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Dermabacteraceae.Brachybacterium.unclassified_Brachybacterium	423.0876	725.95814
Bacteria.Firmicutes_A.Clostridia.Lachnospirales.Lachnospiraceae.unclassified_Lachnospiraceae.unclassified_Lachnospiraceae	636.3613	509.60242
Bacteria.Cyanobacteria.Cyanobacteriia.Cyanobacteriales.unclassified_Cyanobacteriales.unclassified_Cyanobacteriales.unclassified_Cyanobacteriales	640.76974	484.37134000000003
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Oleiphilaceae.Marinobacter.Marinobacter_guineae	644.0487799999999	476.53959999999995
Bacteria.Proteobacteria.Gammaproteobacteria.PS1.Thioglobaceae.Thiodubiliella.Thiodubiliella_sp900128405	469.16432000000003	592.3315399999999
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.unclassified_Mycobacteriaceae.unclassified_Mycobacteriaceae	521.75028	482.6364
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_gallistercoris	656.2125599999999	412.47514
Bacteria.Proteobacteria.Gammaproteobacteria.PS1.Thioglobaceae.unclassified_Thioglobaceae.unclassified_Thioglobaceae	389.8661000000001	714.21064
Bacteria.Actinobacteriota.Actinomycetia.Streptomycetales.Streptomycetaceae.Kitasatospora.Kitasatospora_herbaricolor	512.0922800000001	499.61235999999997
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Galactobacter.Galactobacter_valiniphilus	1022.4203600000001	52.1006
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Propionibacteriaceae.Cutibacterium.Cutibacterium_timonense	681.0393200000001	329.5639
