#ID	domain	phylum	class	order	family	genus	species
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Alteromonadaceae.Paraglaciecola.Paraglaciecola_sp011378905	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Paraglaciecola	s__Paraglaciecola_sp011378905
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Rothia.Rothia_halotolerans	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__Rothia_halotolerans
Bacteria.Verrucomicrobiota.Verrucomicrobiae.Pedosphaerales.UBA1096.UBA1096.UBA1096_sp002684915	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__UBA1096	g__UBA1096	s__UBA1096_sp002684915
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Kocuria.Kocuria_carniphila	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	s__Kocuria_carniphila
Bacteria.SAR324.SAR324.SAR324.NAC60_12.Arctic96AD_7.Arctic96AD_7_sp002685535	d__Bacteria	p__SAR324	c__SAR324	o__SAR324	f__NAC60_12	g__Arctic96AD_7	s__Arctic96AD_7_sp002685535
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_amycolatum	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium_amycolatum
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.Clostridium.unclassified_Clostridium	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__unclassified_Clostridium
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.Mobiluncus.unclassified_Mobiluncus	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	s__unclassified_Mobiluncus
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Propionibacteriaceae.unclassified_Propionibacteriaceae.unclassified_Propionibacteriaceae	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__unclassified_Propionibacteriaceae	s__unclassified_Propionibacteriaceae
Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Flavobacteriaceae.Flavobacterium.Flavobacterium_sp011751075	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium_sp011751075
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Kluyvera.Kluyvera_georgiana	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kluyvera	s__Kluyvera_georgiana
