family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_UBA1096	130.6935	179.3145	2321.5013	1832.1061	754.2415	2712.6462	1536.6677	0	1167.9234	85.2037	6.3727	15.8604	65.0228	1869.2391	1.3233	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Pedosphaerales;f_UBA1096
f_NAC60-12	3027.1718	97.3321	324.0849	279.9053	355.7314	496.3166	264.4289	0	4116.1499	0	1.8054	25.1636	5.3341	2977.1528	1.9543	d_Bacteria;p_SAR324;c_SAR324;o_SAR324;f_NAC60-12
f_Tissierellaceae	197.6947	274.3826	1696.7644	1079.5342	1379.8897	1846.2177	1651.5145	141.9595	856.0509	19.7296	5.6238	12.9847	101.7305	1028.7192	666.9315	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales;f_Tissierellaceae
f_Unclassified_o_Burkholderiales	185.3658	0	819.347	818.7848	273.9531	691.7832	540.9356	23.044	416.4836	1.474	39.5576	5691.2474	69.3665	648.0533	380.2438	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Unclassified_o_Burkholderiales
f_Aerococcaceae	122.1903	0	74.3413	0	89.9052	10.7899	289.0591	265.6344	89.5363	481.7536	45.2035	102.7185	382.6714	4.6652	8507.521	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Aerococcaceae
f_Unclassified_p_Myxococcota	117.1314	393.7403	1634.7652	1875.6995	395.5373	1932.3875	1120.661	10.7003	506.8105	230.0772	0.9239	0.7178	18.3652	1771.0224	0.4818	d_Bacteria;p_Myxococcota;c_Unclassified_p_Myxococcota;o_Unclassified_p_Myxococcota;f_Unclassified_p_Myxococcota
f_Pseudonocardiaceae	755.3138	818.9614	1383.9206	1020.2924	406.8643	1090.6543	787.6179	46.0819	755.6176	815.1661	3.8643	80.468	97.8522	1375.4451	338.6968	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Pseudonocardiaceae
f_Unclassified_p_Actinobacteriota	1560.9232	1351.6726	484.3787	708.4471	483.3346	378.5257	419.6629	145.5845	404.1677	689.0783	24.1903	333.893	368.9646	235.1153	1899.0608	d_Bacteria;p_Actinobacteriota;c_Unclassified_p_Actinobacteriota;o_Unclassified_p_Actinobacteriota;f_Unclassified_p_Actinobacteriota
f_Unclassified_o_Lactobacillales	53.2528	0	225.8389	0	149.0304	27.7504	163.1021	1244.5632	245.9064	2436.3979	129.0095	740.6552	1519.8173	234.6764	1584.1219	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Unclassified_o_Lactobacillales
f_Nostocaceae	343.5583	421.7351	1209.2379	1798.9475	242.6751	1420.2847	600.5285	18.6604	285.2656	63.9981	2.9352	181.5281	15.8227	1162.6796	29.2713	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Cyanobacteriales;f_Nostocaceae
f_Oleiphilaceae	61.9784	303.1303	796.6298	1375.6957	466.7873	1511.9523	776.863	61.6078	1071.8273	29.5708	10.3286	83.5684	20.7566	1080.5626	18.079	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Oleiphilaceae
