#ID	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Alcaligenes.unclassified_Alcaligenes	1	1	16	2	17	17	458	311	2	28785
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Dermabacteraceae.TAE3_ERU5.unclassified_TAE3_ERU5	26	361	247	7345	1929	100	1420	1773	31	9942
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_accolens	4	0	356	389	2801	253	2689	167	19	20473
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.unclassified_Xanthomonadaceae.unclassified_Xanthomonadaceae	0	1	52	5	8	3	5580	144	2	20427
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Romboutsia.unclassified_Romboutsia	0	35	263	6	26	200	6	348	11	24851
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.Helicobacter_G_sp001693335	46	332	339	21	11	163	4316	7	4229	2503
Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Weeksellaceae.Kaistella.unclassified_Kaistella	0	0	133	0	0	29	25543	34	0	110
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Gallilactobacillus.Gallilactobacillus_intestinavium	1	197	3384	66	4636	1690	14560	992	13	11
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Kocuria.unclassified_Kocuria	4	6	1220	137	786	427	5898	477	5	6039
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Romboutsia.Romboutsia_timonensis	0	11	83	0	43	127	0	321	7	23949
Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Jeotgalibaca.unclassified_Jeotgalibaca	2	4	8	0	6	8	20	11	0	23780
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_vitaeruminis_A	2	5	279	442	18367	19	468	146	0	1926
Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Weeksellaceae.unclassified_Weeksellaceae.unclassified_Weeksellaceae	0	1	173	0	1	32	22701	16	1	110
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.Flaviflexus.unclassified_Flaviflexus	2	6	34	82	410	55	191	202	12	21681
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.Leucobacter.Leucobacter_komagatae	0	0	2	0	6	12	98	6	0	21743
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Giesbergeria.Giesbergeria_sp012932145	0	0	7	20	1	4	21154	11	0	526
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.unclassified_Rhizobiales.unclassified_Rhizobiales.unclassified_Rhizobiales	2	9	12	18	12	26	2289	14	24	19213
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.Mobiluncus.unclassified_Mobiluncus	13	5	12	231	115	11	758	636	21	18504
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.unclassified_Burkholderiales.unclassified_Burkholderiales.unclassified_Burkholderiales	56	44	11	105	1	58	17062	33	64	3204
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Paenalcaligenes.Paenalcaligenes_intestinipullorum	0	0	5	15	2	12	241	839	0	19020
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Escherichia_sp004211955	0	0	64	18	8	19030	340	866	0	70
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Luteimonas.unclassified_Luteimonas	0	0	194	11	15	34	17448	40	0	890
Bacteria.Actinobacteriota.unclassified_Actinobacteriota.unclassified_Actinobacteriota.unclassified_Actinobacteriota.unclassified_Actinobacteriota.unclassified_Actinobacteriota	22	29	60	197	165	42	548	139	15	17009
Bacteria.Firmicutes.Bacilli.unclassified_Bacilli.unclassified_Bacilli.unclassified_Bacilli.unclassified_Bacilli	77	77	840	115	912	1684	5199	1934	134	6677
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.Helicobacter_G_pametensis	46	217	236	18	19	87	3337	5	3124	1742
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Escherichia_sp001660175	0	1	39	19	8	16666	306	805	0	60
