#ID	domain	phylum	class	order	family	genus	species
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Nocardia.Nocardia_nova_B	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Nocardia	s__Nocardia_nova_B
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.unclassified_Rhizobiaceae.unclassified_Rhizobiaceae	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__unclassified_Rhizobiaceae	s__unclassified_Rhizobiaceae
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Acidovorax.unclassified_Acidovorax	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Acidovorax	s__unclassified_Acidovorax
Bacteria.Firmicutes_A.Clostridia.unclassified_Clostridia.unclassified_Clostridia.unclassified_Clostridia.unclassified_Clostridia	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__unclassified_Clostridia	f__unclassified_Clostridia	g__unclassified_Clostridia	s__unclassified_Clostridia
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Rothia.unclassified_Rothia	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__unclassified_Rothia
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae.Brevundimonas.unclassified_Brevundimonas	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__unclassified_Brevundimonas
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Propionibacteriaceae.unclassified_Propionibacteriaceae.unclassified_Propionibacteriaceae	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__unclassified_Propionibacteriaceae	s__unclassified_Propionibacteriaceae
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Giesbergeria.unclassified_Giesbergeria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Giesbergeria	s__unclassified_Giesbergeria
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.unclassified_Rhodobacteraceae.unclassified_Rhodobacteraceae	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unclassified_Rhodobacteraceae	s__unclassified_Rhodobacteraceae
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Lysobacter.unclassified_Lysobacter	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__unclassified_Lysobacter
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.Ligilactobacillus_faecavium	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus_faecavium
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.unclassified_Lactobacillaceae.unclassified_Lactobacillaceae	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__unclassified_Lactobacillaceae	s__unclassified_Lactobacillaceae
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Kocuria.Kocuria_sp014698015	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	s__Kocuria_sp014698015
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.CCUG_7971.unclassified_CCUG_7971	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__CCUG_7971	s__unclassified_CCUG_7971
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.Pseudochrobactrum.Pseudochrobactrum_sp900470285	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales_A	f__Rhizobiaceae_A	g__Pseudochrobactrum	s__Pseudochrobactrum_sp900470285
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Oryzisolibacter.Oryzisolibacter_propanilivorax	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Oryzisolibacter	s__Oryzisolibacter_propanilivorax
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae.Phenylobacterium.Phenylobacterium_sp001429025	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium_sp001429025
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.unclassified_Actinomycetaceae.unclassified_Actinomycetaceae	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__unclassified_Actinomycetaceae	s__unclassified_Actinomycetaceae
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Luteimonas.Luteimonas_sp016615955	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Luteimonas	s__Luteimonas_sp016615955
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Pulveribacter.unclassified_Pulveribacter	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pulveribacter	s__unclassified_Pulveribacter
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Paracoccus.Paracoccus_sphaerophysae	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus_sphaerophysae
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Rothia.Rothia_kristinae	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__Rothia_kristinae
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.Ochrobactrum_A.unclassified_Ochrobactrum_A	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales_A	f__Rhizobiaceae_A	g__Ochrobactrum_A	s__unclassified_Ochrobactrum_A
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Stenotrophomonas.Stenotrophomonas_maltophilia_A	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas_maltophilia_A
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Alcaligenes.unclassified_Alcaligenes	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Alcaligenes	s__unclassified_Alcaligenes
